Date,Elev,AM/PM,Azim
2024-01-01,   0,AM,129
2024-01-01,   0,PM,231
2024-01-01,  10,AM,150
2024-01-01,  10,PM,210
2024-01-02,   0,AM,129
2024-01-02,   0,PM,232
2024-01-02,  10,AM,150
2024-01-02,  10,PM,210
2024-01-03,   0,AM,128
2024-01-03,   0,PM,232
2024-01-03,  10,AM,150
2024-01-03,  10,PM,210
2024-01-04,   0,AM,128
2024-01-04,   0,PM,232
2024-01-04,  10,AM,150
2024-01-04,  10,PM,210
2024-01-05,   0,AM,128
2024-01-05,   0,PM,232
2024-01-05,  10,AM,149
2024-01-05,  10,PM,211
2024-01-06,   0,AM,128
2024-01-06,   0,PM,232
2024-01-06,  10,AM,149
2024-01-06,  10,PM,211
2024-01-07,   0,AM,127
2024-01-07,   0,PM,233
2024-01-07,  10,AM,149
2024-01-07,  10,PM,211
2024-01-08,   0,AM,127
2024-01-08,   0,PM,233
2024-01-08,  10,AM,148
2024-01-08,  10,PM,212
2024-01-09,   0,AM,127
2024-01-09,   0,PM,233
2024-01-09,  10,AM,148
2024-01-09,  10,PM,212
2024-01-10,   0,AM,127
2024-01-10,   0,PM,233
2024-01-10,  10,AM,147
2024-01-10,  10,PM,213
2024-01-11,   0,AM,126
2024-01-11,   0,PM,234
2024-01-11,  10,AM,147
2024-01-11,  10,PM,213
2024-01-12,   0,AM,126
2024-01-12,   0,PM,234
2024-01-12,  10,AM,147
2024-01-12,  10,PM,214
2024-01-13,   0,AM,126
2024-01-13,   0,PM,234
2024-01-13,  10,AM,146
2024-01-13,  10,PM,214
2024-01-14,   0,AM,125
2024-01-14,   0,PM,235
2024-01-14,  10,AM,146
2024-01-14,  10,PM,214
2024-01-15,   0,AM,125
2024-01-15,   0,PM,235
2024-01-15,  10,AM,145
2024-01-15,  10,PM,215
2024-01-16,   0,AM,125
2024-01-16,   0,PM,235
2024-01-16,  10,AM,145
2024-01-16,  10,PM,216
2024-01-17,   0,AM,124
2024-01-17,   0,PM,236
2024-01-17,  10,AM,144
2024-01-17,  10,PM,216
2024-01-18,   0,AM,124
2024-01-18,   0,PM,236
2024-01-18,  10,AM,144
2024-01-18,  10,PM,216
2024-01-19,   0,AM,124
2024-01-19,   0,PM,236
2024-01-19,  10,AM,143
2024-01-19,  10,PM,217
2024-01-20,   0,AM,123
2024-01-20,   0,PM,237
2024-01-20,  10,AM,143
2024-01-20,  10,PM,218
2024-01-21,   0,AM,123
2024-01-21,   0,PM,237
2024-01-21,  10,AM,142
2024-01-21,  10,PM,218
2024-01-22,   0,AM,123
2024-01-22,   0,PM,238
2024-01-22,  10,AM,142
2024-01-22,  10,PM,219
2024-01-23,   0,AM,122
2024-01-23,   0,PM,238
2024-01-23,  10,AM,141
2024-01-23,  10,PM,219
2024-01-24,   0,AM,122
2024-01-24,   0,PM,238
2024-01-24,  10,AM,140
2024-01-24,  10,PM,220
2024-01-25,   0,AM,121
2024-01-25,   0,PM,239
2024-01-25,  10,AM,140
2024-01-25,  10,PM,220
2024-01-26,   0,AM,121
2024-01-26,   0,PM,239
2024-01-26,  10,AM,139
2024-01-26,  10,PM,221
2024-01-27,   0,AM,120
2024-01-27,   0,PM,240
2024-01-27,  10,AM,139
2024-01-27,  10,PM,222
2024-01-28,   0,AM,120
2024-01-28,   0,PM,240
2024-01-28,  10,AM,138
2024-01-28,  10,PM,222
2024-01-29,   0,AM,120
2024-01-29,   0,PM,241
2024-01-29,  10,AM,137
2024-01-29,  10,PM,223
2024-01-29,  20,AM,177
2024-01-29,  20,PM,183
2024-01-30,   0,AM,119
2024-01-30,   0,PM,241
2024-01-30,  10,AM,137
2024-01-30,  10,PM,223
2024-01-30,  20,AM,172
2024-01-30,  20,PM,188
2024-01-31,   0,AM,119
2024-01-31,   0,PM,242
2024-01-31,  10,AM,136
2024-01-31,  10,PM,224
2024-01-31,  20,AM,170
2024-01-31,  20,PM,191
2024-02-01,   0,AM,118
2024-02-01,   0,PM,242
2024-02-01,  10,AM,135
2024-02-01,  10,PM,225
2024-02-01,  20,AM,167
2024-02-01,  20,PM,193
2024-02-02,   0,AM,118
2024-02-02,   0,PM,243
2024-02-02,  10,AM,135
2024-02-02,  10,PM,225
2024-02-02,  20,AM,165
2024-02-02,  20,PM,195
2024-02-03,   0,AM,117
2024-02-03,   0,PM,243
2024-02-03,  10,AM,134
2024-02-03,  10,PM,226
2024-02-03,  20,AM,163
2024-02-03,  20,PM,197
2024-02-04,   0,AM,116
2024-02-04,   0,PM,244
2024-02-04,  10,AM,133
2024-02-04,  10,PM,227
2024-02-04,  20,AM,162
2024-02-04,  20,PM,198
2024-02-05,   0,AM,116
2024-02-05,   0,PM,244
2024-02-05,  10,AM,133
2024-02-05,  10,PM,227
2024-02-05,  20,AM,160
2024-02-05,  20,PM,200
2024-02-06,   0,AM,115
2024-02-06,   0,PM,245
2024-02-06,  10,AM,132
2024-02-06,  10,PM,228
2024-02-06,  20,AM,159
2024-02-06,  20,PM,201
2024-02-07,   0,AM,115
2024-02-07,   0,PM,245
2024-02-07,  10,AM,132
2024-02-07,  10,PM,229
2024-02-07,  20,AM,158
2024-02-07,  20,PM,203
2024-02-08,   0,AM,114
2024-02-08,   0,PM,246
2024-02-08,  10,AM,131
2024-02-08,  10,PM,229
2024-02-08,  20,AM,156
2024-02-08,  20,PM,204
2024-02-09,   0,AM,114
2024-02-09,   0,PM,246
2024-02-09,  10,AM,130
2024-02-09,  10,PM,230
2024-02-09,  20,AM,155
2024-02-09,  20,PM,205
2024-02-10,   0,AM,113
2024-02-10,   0,PM,247
2024-02-10,  10,AM,130
2024-02-10,  10,PM,231
2024-02-10,  20,AM,154
2024-02-10,  20,PM,207
2024-02-11,   0,AM,113
2024-02-11,   0,PM,247
2024-02-11,  10,AM,129
2024-02-11,  10,PM,231
2024-02-11,  20,AM,153
2024-02-11,  20,PM,208
2024-02-12,   0,AM,112
2024-02-12,   0,PM,248
2024-02-12,  10,AM,128
2024-02-12,  10,PM,232
2024-02-12,  20,AM,151
2024-02-12,  20,PM,209
2024-02-13,   0,AM,112
2024-02-13,   0,PM,249
2024-02-13,  10,AM,128
2024-02-13,  10,PM,233
2024-02-13,  20,AM,150
2024-02-13,  20,PM,210
2024-02-14,   0,AM,111
2024-02-14,   0,PM,249
2024-02-14,  10,AM,127
2024-02-14,  10,PM,233
2024-02-14,  20,AM,149
2024-02-14,  20,PM,211
2024-02-15,   0,AM,110
2024-02-15,   0,PM,250
2024-02-15,  10,AM,126
2024-02-15,  10,PM,234
2024-02-15,  20,AM,148
2024-02-15,  20,PM,212
2024-02-16,   0,AM,110
2024-02-16,   0,PM,250
2024-02-16,  10,AM,125
2024-02-16,  10,PM,235
2024-02-16,  20,AM,147
2024-02-16,  20,PM,213
2024-02-17,   0,AM,109
2024-02-17,   0,PM,251
2024-02-17,  10,AM,125
2024-02-17,  10,PM,235
2024-02-17,  20,AM,146
2024-02-17,  20,PM,214
2024-02-18,   0,AM,109
2024-02-18,   0,PM,252
2024-02-18,  10,AM,124
2024-02-18,  10,PM,236
2024-02-18,  20,AM,145
2024-02-18,  20,PM,215
2024-02-19,   0,AM,108
2024-02-19,   0,PM,252
2024-02-19,  10,AM,123
2024-02-19,  10,PM,237
2024-02-19,  20,AM,144
2024-02-19,  20,PM,216
2024-02-20,   0,AM,107
2024-02-20,   0,PM,253
2024-02-20,  10,AM,123
2024-02-20,  10,PM,238
2024-02-20,  20,AM,143
2024-02-20,  20,PM,217
2024-02-21,   0,AM,107
2024-02-21,   0,PM,253
2024-02-21,  10,AM,122
2024-02-21,  10,PM,238
2024-02-21,  20,AM,142
2024-02-21,  20,PM,218
2024-02-22,   0,AM,106
2024-02-22,   0,PM,254
2024-02-22,  10,AM,121
2024-02-22,  10,PM,239
2024-02-22,  20,AM,141
2024-02-22,  20,PM,219
2024-02-23,   0,AM,106
2024-02-23,   0,PM,254
2024-02-23,  10,AM,121
2024-02-23,  10,PM,239
2024-02-23,  20,AM,140
2024-02-23,  20,PM,220
2024-02-24,   0,AM,105
2024-02-24,   0,PM,255
2024-02-24,  10,AM,120
2024-02-24,  10,PM,240
2024-02-24,  20,AM,139
2024-02-24,  20,PM,221
2024-02-25,   0,AM,104
2024-02-25,   0,PM,256
2024-02-25,  10,AM,119
2024-02-25,  10,PM,241
2024-02-25,  20,AM,138
2024-02-25,  20,PM,222
2024-02-26,   0,AM,104
2024-02-26,   0,PM,256
2024-02-26,  10,AM,119
2024-02-26,  10,PM,242
2024-02-26,  20,AM,137
2024-02-26,  20,PM,223
2024-02-27,   0,AM,103
2024-02-27,   0,PM,257
2024-02-27,  10,AM,118
2024-02-27,  10,PM,242
2024-02-27,  20,AM,136
2024-02-27,  20,PM,224
2024-02-28,   0,AM,103
2024-02-28,   0,PM,258
2024-02-28,  10,AM,117
2024-02-28,  10,PM,243
2024-02-28,  20,AM,135
2024-02-28,  20,PM,225
2024-02-29,   0,AM,102
2024-02-29,   0,PM,258
2024-02-29,  10,AM,116
2024-02-29,  10,PM,244
2024-02-29,  20,AM,134
2024-02-29,  20,PM,226
2024-02-29,  30,AM,172
2024-02-29,  30,PM,189
2024-03-01,   0,AM,101
2024-03-01,   0,PM,259
2024-03-01,  10,AM,116
2024-03-01,  10,PM,244
2024-03-01,  20,AM,133
2024-03-01,  20,PM,227
2024-03-01,  30,AM,168
2024-03-01,  30,PM,193
2024-03-02,   0,AM,101
2024-03-02,   0,PM,260
2024-03-02,  10,AM,115
2024-03-02,  10,PM,245
2024-03-02,  20,AM,133
2024-03-02,  20,PM,228
2024-03-02,  30,AM,165
2024-03-02,  30,PM,196
2024-03-03,   0,AM,100
2024-03-03,   0,PM,260
2024-03-03,  10,AM,114
2024-03-03,  10,PM,246
2024-03-03,  20,AM,132
2024-03-03,  20,PM,229
