date,time,azimuth,elevation,plot_x,plot_y
2025-01-01,00:00,177.63,-60.94,0.0027,0.0647
2025-01-01,00:15,184.74,-60.89,-0.0054,0.0649
2025-01-01,00:30,191.77,-60.56,-0.0138,0.0660
2025-01-01,00:45,198.63,-59.95,-0.0229,0.0680
2025-01-01,01:00,205.22,-59.09,-0.0332,0.0705
2025-01-01,01:15,211.50,-57.99,-0.0448,0.0731
2025-01-01,01:30,217.42,-56.69,-0.0578,0.0755
2025-01-01,01:45,222.99,-55.19,-0.0721,0.0774
2025-01-01,02:00,228.20,-53.55,-0.0876,0.0783
2025-01-01,02:15,233.07,-51.76,-0.1041,0.0783
2025-01-01,02:30,237.64,-49.86,-0.1215,0.0770
2025-01-01,02:45,241.92,-47.87,-0.1395,0.0744
2025-01-01,03:00,245.96,-45.79,-0.1579,0.0704
2025-01-01,03:15,249.78,-43.65,-0.1766,0.0651
2025-01-01,03:30,253.40,-41.46,-0.1953,0.0582
2025-01-01,03:45,256.86,-39.23,-0.2140,0.0500
2025-01-01,04:00,260.18,-36.97,-0.2325,0.0403
2025-01-01,04:15,263.37,-34.68,-0.2506,0.0291
2025-01-01,04:30,266.46,-32.39,-0.2682,0.0166
2025-01-01,04:45,269.47,-30.08,-0.2851,0.0027
2025-01-01,05:00,272.40,-27.77,-0.3014,-0.0126
2025-01-01,05:15,275.28,-25.47,-0.3167,-0.0293
2025-01-01,05:30,278.11,-23.17,-0.3311,-0.0472
2025-01-01,05:45,280.91,-20.90,-0.3444,-0.0664
2025-01-01,06:00,283.69,-18.64,-0.3564,-0.0868
2025-01-01,06:15,286.46,-16.41,-0.3671,-0.1084
2025-01-01,06:30,289.22,-14.22,-0.3763,-0.1312
2025-01-01,06:45,291.98,-12.05,-0.3838,-0.1549
2025-01-01,07:00,294.76,-9.94,-0.3896,-0.1797
2025-01-01,07:15,297.56,-7.86,-0.3935,-0.2053
2025-01-01,07:30,300.38,-5.84,-0.3953,-0.2318
2025-01-01,07:45,303.23,-3.88,-0.3950,-0.2588
2025-01-01,08:00,306.12,-1.98,-0.3925,-0.2864
2025-01-01,08:15,309.05,-0.15,-0.3875,-0.3143
2025-01-01,08:30,312.02,1.60,-0.3799,-0.3424
2025-01-01,08:45,315.05,3.27,-0.3698,-0.3704
2025-01-01,09:00,318.12,4.86,-0.3570,-0.3981
2025-01-01,09:15,321.25,6.35,-0.3414,-0.4253
2025-01-01,09:30,324.43,7.75,-0.3230,-0.4517
2025-01-01,09:45,327.67,9.04,-0.3019,-0.4770
2025-01-01,10:00,330.96,10.22,-0.2781,-0.5010
2025-01-01,10:15,334.31,11.28,-0.2517,-0.5232
2025-01-01,10:30,337.70,12.22,-0.2228,-0.5433
2025-01-01,10:45,341.14,13.03,-0.1917,-0.5612
2025-01-01,11:00,344.62,13.71,-0.1586,-0.5765
2025-01-01,11:15,348.13,14.25,-0.1237,-0.5889
2025-01-01,11:30,351.68,14.66,-0.0875,-0.5983
2025-01-01,11:45,355.24,14.92,-0.0504,-0.6045
2025-01-01,12:00,358.81,15.04,-0.0126,-0.6073
2025-01-01,12:15,2.38,15.02,0.0253,-0.6067
2025-01-01,12:30,5.95,14.85,0.0629,-0.6028
2025-01-01,12:45,9.51,14.54,0.0998,-0.5955
2025-01-01,13:00,13.04,14.09,0.1355,-0.5851
2025-01-01,13:15,16.55,13.50,0.1698,-0.5717
2025-01-01,13:30,20.01,12.77,0.2023,-0.5555
2025-01-01,13:45,23.44,11.92,0.2327,-0.5368
2025-01-01,14:00,26.82,10.94,0.2608,-0.5160
2025-01-01,14:15,30.14,9.84,0.2864,-0.4931
2025-01-01,14:30,33.42,8.62,0.3093,-0.4687
2025-01-01,14:45,36.64,7.29,0.3295,-0.4430
2025-01-01,15:00,39.80,5.87,0.3469,-0.4163
2025-01-01,15:15,42.91,4.34,0.3615,-0.3889
2025-01-01,15:30,45.97,2.72,0.3735,-0.3611
2025-01-01,15:45,48.98,1.02,0.3827,-0.3330
2025-01-01,16:00,51.93,-0.76,0.3894,-0.3049
2025-01-01,16:15,54.85,-2.61,0.3936,-0.2771
2025-01-01,16:30,57.72,-4.53,0.3954,-0.2497
2025-01-01,16:45,60.57,-6.51,0.3949,-0.2229
2025-01-01,17:00,63.38,-8.55,0.3924,-0.1967
2025-01-01,17:15,66.17,-10.64,0.3879,-0.1713
2025-01-01,17:30,68.94,-12.77,0.3815,-0.1469
2025-01-01,17:45,71.70,-14.95,0.3734,-0.1235
2025-01-01,18:00,74.47,-17.15,0.3637,-0.1011
2025-01-01,18:15,77.23,-19.39,0.3525,-0.0799
2025-01-01,18:30,80.02,-21.66,0.3401,-0.0598
